GO_term,name,namespace,def
GO:0010608,post-transcriptional regulation of gene expression,biological_process,"Any process that modulates the frequency, rate or extent of gene expression after the production of an RNA transcript."
GO:0010628,positive regulation of gene expression,biological_process,"Any process that increases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."
GO:0010629,negative regulation of gene expression,biological_process,"Any process that decreases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."
GO:0010646,regulation of cell communication,biological_process,"Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."
GO:0010647,positive regulation of cell communication,biological_process,"Any process that increases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."
GO:0010648,negative regulation of cell communication,biological_process,"Any process that decreases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."
GO:0010941,obsolete regulation of cell death,biological_process,"OBSOLETE. Any process that modulates the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."
GO:0012501,programmed cell death,biological_process,A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell.
GO:0012505,endomembrane system,cellular_component,"A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."
GO:0012506,vesicle membrane,cellular_component,The lipid bilayer surrounding any membrane-bounded vesicle in the cell.
GO:0014070,obsolete response to organic cyclic compound,biological_process,"OBSOLETE. Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic cyclic compound stimulus."
GO:0015031,protein transport,biological_process,"The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
GO:0015075,monoatomic ion transmembrane transporter activity,molecular_function,Enables the transfer of an ion from one side of a membrane to the other.
GO:0015267,channel activity,molecular_function,Enables the energy-independent facilitated diffusion of a solute through a transmembrane aqueous pore or channel. Stereospecificity is not exhibited but this transport may be specific for a particular molecular species or class of molecules.
GO:0015318,inorganic molecular entity transmembrane transporter activity,molecular_function,Enables the transfer of an inorganic molecular entity from the outside of a cell to the inside of the cell across a membrane. An inorganic molecular entity is a molecular entity that contains no carbon.
GO:0015630,microtubule cytoskeleton,cellular_component,The part of the cytoskeleton (the internal framework of a cell) composed of microtubules and associated proteins.
GO:0016020,membrane,cellular_component,A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.
GO:0016043,cellular component organization,biological_process,"A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component."
GO:0016070,RNA metabolic process,biological_process,"The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."
GO:0016071,mRNA metabolic process,biological_process,"The chemical reactions and pathways involving mRNA, messenger RNA, which is responsible for carrying the coded genetic 'message', transcribed from DNA, to sites of protein assembly at the ribosomes."
GO:0016192,vesicle-mediated transport,biological_process,"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."
GO:0016301,kinase activity,molecular_function,"Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."
GO:0016310,phosphorylation,biological_process,"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."
GO:0016477,cell migration,biological_process,The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues.
GO:0016491,oxidoreductase activity,molecular_function,"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
GO:0016604,nuclear body,cellular_component,Membraneless organelle present in the nucleoplasm and usually visible by confocal microscopy.
GO:0016740,transferase activity,molecular_function,"Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
GO:0016772,"transferase activity, transferring phosphorus-containing groups",molecular_function,Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to another (acceptor).
GO:0016773,"phosphotransferase activity, alcohol group as acceptor",molecular_function,Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to an alcohol group (acceptor).
GO:0016787,hydrolase activity,molecular_function,"Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
GO:0016788,"hydrolase activity, acting on ester bonds",molecular_function,Catalysis of the hydrolysis of any ester bond.
GO:0016829,lyase activity,molecular_function,"Catalysis of the cleavage of C-C, C-O, C-N and other bonds by other means than by hydrolysis or oxidation, or conversely adding a group to a double bond. They differ from other enzymes in that two substrates are involved in one reaction direction, but only one in the other direction. When acting on the single substrate, a molecule is eliminated and this generates either a new double bond or a new ring."
GO:0017076,purine nucleotide binding,molecular_function,"Binding to a purine nucleotide, a compound consisting of a purine nucleoside esterified with (ortho)phosphate."
GO:0018130,obsolete heterocycle biosynthetic process,biological_process,"OBSOLETE. The chemical reactions and pathways resulting in the formation of heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."
GO:0019219,regulation of nucleobase-containing compound metabolic process,biological_process,"Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."
GO:0019220,regulation of phosphate metabolic process,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving phosphates."
GO:0019222,regulation of metabolic process,biological_process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."
GO:0019438,obsolete aromatic compound biosynthetic process,biological_process,"OBSOLETE. The chemical reactions and pathways resulting in the formation of aromatic compounds, any substance containing an aromatic carbon ring."
GO:0019538,protein metabolic process,biological_process,The chemical reactions and pathways involving a protein. Includes protein modification.
GO:0019637,organophosphate metabolic process,biological_process,"The chemical reactions and pathways involving organophosphates, any phosphate-containing organic compound."
GO:0019725,cellular homeostasis,biological_process,Any process involved in the maintenance of an internal steady state at the level of the cell.
GO:0019752,carboxylic acid metabolic process,biological_process,"The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."
GO:0019899,enzyme binding,molecular_function,"Binding to an enzyme, a protein with catalytic activity."
GO:0019953,sexual reproduction,biological_process,"A type of reproduction that combines the genetic material of two gametes (such as a sperm or egg cell or fungal spores). The gametes have an haploid genome (with a single set of chromosomes, the product of a meiotic division) and combines with one another to produce a zygote (diploid)."
GO:0022008,neurogenesis,biological_process,Generation of cells within the nervous system.
GO:0022402,cell cycle process,biological_process,The cellular process that ensures successive accurate and complete genome replication and chromosome segregation.
GO:0022412,cellular process involved in reproduction in multicellular organism,biological_process,"A process, occurring at the cellular level, that is involved in the reproductive function of a multicellular organism."
GO:0022414,reproductive process,biological_process,A biological process that directly contributes to the process of producing new individuals by one or two organisms. The new individuals inherit some proportion of their genetic material from the parent or parents.
GO:0022603,regulation of anatomical structure morphogenesis,biological_process,"Any process that modulates the frequency, rate or extent of anatomical structure morphogenesis."
GO:0022607,cellular component assembly,biological_process,"The aggregation, arrangement and bonding together of a cellular component."
GO:0022803,passive transmembrane transporter activity,molecular_function,"Enables the transfer of a single solute from one side of a membrane to the other by a mechanism involving conformational change, either by facilitated diffusion or in a membrane potential dependent process if the solute is charged."
GO:0022857,transmembrane transporter activity,molecular_function,"Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other."
GO:0022890,inorganic cation transmembrane transporter activity,molecular_function,Enables the transfer of inorganic cations from one side of a membrane to the other. Inorganic cations are atoms or small molecules with a positive charge that do not contain carbon in covalent linkage.
GO:0023051,regulation of signaling,biological_process,"Any process that modulates the frequency, rate or extent of a signaling process."
GO:0023052,signaling,biological_process,The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered.
GO:0023056,positive regulation of signaling,biological_process,"Any process that activates, maintains or increases the frequency, rate or extent of a signaling process."
GO:0023057,negative regulation of signaling,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of a signaling process."
GO:0030029,actin filament-based process,biological_process,"Any cellular process that depends upon or alters the actin cytoskeleton, that part of the cytoskeleton comprising actin filaments and their associated proteins."
GO:0030030,cell projection organization,biological_process,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a prolongation or process extending from a cell, e.g. a flagellum or axon."
GO:0030036,actin cytoskeleton organization,biological_process,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins."
GO:0030054,cell junction,cellular_component,"A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."
GO:0030097,hemopoiesis,biological_process,"The process whose specific outcome is the progression of the myeloid and lymphoid derived organ/tissue systems of the blood and other parts of the body over time, from formation to the mature structure. The site of hemopoiesis is variable during development, but occurs primarily in bone marrow or kidney in many adult vertebrates."
GO:0030154,cell differentiation,biological_process,"The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."
GO:0030182,neuron differentiation,biological_process,The process in which a relatively unspecialized cell acquires specialized features of a neuron.
GO:0030234,enzyme regulator activity,molecular_function,A molecular function regulator that modulates a catalytic activity.
GO:0030312,external encapsulating structure,cellular_component,A structure that lies outside the plasma membrane and surrounds the entire cell or cells. This does not include the periplasmic space.
GO:0030334,regulation of cell migration,biological_process,"Any process that modulates the frequency, rate or extent of cell migration."
GO:0030424,axon,cellular_component,"The long process of a neuron that conducts nerve impulses, usually away from the cell body to the terminals and varicosities, which are sites of storage and release of neurotransmitter."
GO:0030659,cytoplasmic vesicle membrane,cellular_component,The lipid bilayer surrounding a cytoplasmic vesicle.
GO:0030855,epithelial cell differentiation,biological_process,"The process in which a relatively unspecialized cell acquires specialized features of an epithelial cell, any of the cells making up an epithelium."
GO:0031012,extracellular matrix,cellular_component,"A structure lying external to one or more cells, which provides structural support, biochemical or biomechanical cues for cells or tissues."
GO:0031090,organelle membrane,cellular_component,A membrane that is one of the two lipid bilayers of an organelle envelope or the outermost membrane of single membrane bound organelle.
GO:0031175,neuron projection development,biological_process,"The process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."
GO:0031323,obsolete regulation of cellular metabolic process,biological_process,"OBSOLETE. Any process that modulates the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."
GO:0031324,obsolete negative regulation of cellular metabolic process,biological_process,"OBSOLETE. Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."
GO:0031325,obsolete positive regulation of cellular metabolic process,biological_process,"OBSOLETE. Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."
GO:0031326,obsolete regulation of cellular biosynthetic process,biological_process,"OBSOLETE. Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."
GO:0031327,obsolete negative regulation of cellular biosynthetic process,biological_process,"OBSOLETE. Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."
GO:0031328,obsolete positive regulation of cellular biosynthetic process,biological_process,"OBSOLETE. Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."
GO:0031329,obsolete regulation of cellular catabolic process,biological_process,"OBSOLETE. Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of substances, carried out by individual cells."
GO:0031344,regulation of cell projection organization,biological_process,"Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell projections."
GO:0031347,regulation of defense response,biological_process,"Any process that modulates the frequency, rate or extent of a defense response."
GO:0031399,regulation of protein modification process,biological_process,"Any process that modulates the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."
GO:0031410,cytoplasmic vesicle,cellular_component,A vesicle found in the cytoplasm of a cell.
GO:0031667,response to nutrient levels,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of nutrients."
GO:0031966,mitochondrial membrane,cellular_component,Either of the lipid bilayers that surround the mitochondrion and form the mitochondrial envelope.
GO:0031967,organelle envelope,cellular_component,"A double membrane structure enclosing an organelle, including two lipid bilayers and the region between them. In some cases, an organelle envelope may have more than two membranes."
GO:0031974,membrane-enclosed lumen,cellular_component,"The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."
GO:0031975,obsolete envelope,cellular_component,"OBSOLETE. A multilayered structure surrounding all or part of a cell; encompasses one or more lipid bilayers, and may include a cell wall layer; also includes the space between layers."
GO:0031981,nuclear lumen,cellular_component,The volume enclosed by the nuclear inner membrane.
GO:0031982,vesicle,cellular_component,"Any small, fluid-filled, spherical organelle enclosed by membrane."
GO:0031984,organelle subcompartment,cellular_component,"A compartment that consists of a lumen and an enclosing membrane, and is part of an organelle."
GO:0032101,regulation of response to external stimulus,biological_process,"Any process that modulates the frequency, rate or extent of a response to an external stimulus."
GO:0032501,multicellular organismal process,biological_process,"Any biological process, occurring at the level of a multicellular organism, pertinent to its function."
GO:0032502,developmental process,biological_process,"A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."
GO:0032504,obsolete multicellular organism reproduction,biological_process,OBSOLETE. The biological process in which new individuals are produced by one or two multicellular organisms. The new individuals inherit some proportion of their genetic material from the parent or parents.
GO:0032787,monocarboxylic acid metabolic process,biological_process,"The chemical reactions and pathways involving monocarboxylic acids, any organic acid containing one carboxyl (COOH) group or anion (COO-)."
GO:0032879,regulation of localization,biological_process,"Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."
GO:0032880,regulation of protein localization,biological_process,"Any process that modulates the frequency, rate or extent of any process in which a protein is transported to, or maintained in, a specific location."
GO:0032989,cellular anatomical entity morphogenesis,biological_process,The process in which a cellular entity is generated and organized. A cellular entity has granularity above the level of a protein complex but below that of an anatomical system.
GO:0032990,obsolete cell part morphogenesis,biological_process,OBSOLETE. The process in which the anatomical structures of a cell part are generated and organized.
GO:0032991,protein-containing complex,cellular_component,"A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."
GO:0033036,macromolecule localization,biological_process,"Any process in which a macromolecule is transported to, or maintained in, a specific location."
GO:0033043,regulation of organelle organization,biological_process,"Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle."
GO:0033365,protein localization to organelle,biological_process,"A process in which a protein is transported to, or maintained in, a location within an organelle."
GO:0033554,cellular response to stress,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."
GO:0033993,response to lipid,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipid stimulus."
GO:0034641,obsolete cellular nitrogen compound metabolic process,biological_process,"OBSOLETE. The chemical reactions and pathways involving various organic and inorganic nitrogenous compounds, as carried out by individual cells."
GO:0034645,obsolete cellular macromolecule biosynthetic process,biological_process,"OBSOLETE. The chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass, carried out by individual cells."
GO:0034654,nucleobase-containing compound biosynthetic process,biological_process,"The chemical reactions and pathways resulting in the formation of nucleobases, nucleosides, nucleotides and nucleic acids."
GO:0034660,obsolete ncRNA metabolic process,biological_process,OBSOLETE. The chemical reactions and pathways involving non-coding RNA transcripts (ncRNAs).
GO:0035239,tube morphogenesis,biological_process,"The process in which the anatomical structures of a tube are generated and organized. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues, with tube shape and organization varying from the single-celled excretory organ in Caenorhabditis elegans to the branching trees of the mammalian kidney and insect tracheal system."
GO:0035295,tube development,biological_process,"The process whose specific outcome is the progression of a tube over time, from its initial formation to a mature structure. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues including lung and trachea, kidney, the mammary gland, the vascular system and the gastrointestinal and urinary-genital tracts."
GO:0035556,intracellular signal transduction,biological_process,"The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."
GO:0036094,small molecule binding,molecular_function,"Binding to a small molecule, any low molecular weight, monomeric, non-encoded molecule."
GO:0036211,protein modification process,biological_process,"The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."
GO:0036477,somatodendritic compartment,cellular_component,"The region of a neuron that includes the cell body (cell soma) and dendrite(s), but excludes the axon."
GO:0038023,signaling receptor activity,molecular_function,Receiving a signal and transmitting it in the cell to initiate a change in cell activity. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response.
GO:0040007,growth,biological_process,"The increase in size or mass of an entire organism, a part of an organism or a cell."
GO:0040008,regulation of growth,biological_process,"Any process that modulates the frequency, rate or extent of the growth of all or part of an organism so that it occurs at its proper speed, either globally or in a specific part of the organism's development."
GO:0040011,locomotion,biological_process,Self-propelled movement of a cell or organism from one location to another.
GO:0040012,regulation of locomotion,biological_process,"Any process that modulates the frequency, rate or extent of locomotion of a cell or organism."
GO:0042127,regulation of cell population proliferation,biological_process,"Any process that modulates the frequency, rate or extent of cell proliferation."
GO:0042175,nuclear outer membrane-endoplasmic reticulum membrane network,cellular_component,The continuous network of membranes encompassing the nuclear outer membrane and the endoplasmic reticulum membrane.
GO:0042221,response to chemical,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."
GO:0042325,regulation of phosphorylation,biological_process,"Any process that modulates the frequency, rate or extent of addition of phosphate groups into a molecule."
GO:0042330,taxis,biological_process,The directed movement of a motile cell or organism in response to an external stimulus.
GO:0042592,homeostatic process,biological_process,Any biological process involved in the maintenance of an internal steady state.
GO:0042802,identical protein binding,molecular_function,Binding to an identical protein or proteins.
GO:0042803,protein homodimerization activity,molecular_function,Binding to an identical protein to form a homodimer.
GO:0042981,regulation of apoptotic process,biological_process,Any process that modulates the occurrence or rate of cell death by apoptotic process.
GO:0042995,cell projection,cellular_component,"A prolongation or process extending from a cell, e.g. a flagellum or axon."
GO:0043005,neuron projection,cellular_component,"A prolongation or process extending from a nerve cell, e.g. an axon or dendrite."
GO:0043009,chordate embryonic development,biological_process,"The process whose specific outcome is the progression of the embryo over time, from zygote formation through a stage including a notochord and neural tube until birth or egg hatching."
GO:0043066,negative regulation of apoptotic process,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of cell death by apoptotic process."
GO:0043067,regulation of programmed cell death,biological_process,"Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."
GO:0043069,negative regulation of programmed cell death,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."
GO:0043085,positive regulation of catalytic activity,biological_process,Any process that activates or increases the activity of an enzyme.
GO:0043167,ion binding,molecular_function,"Binding to an ion, a charged atoms or groups of atoms."
GO:0043168,anion binding,molecular_function,"Binding to an anion, a charged atom or group of atoms with a net negative charge."
GO:0043169,cation binding,molecular_function,"Binding to a cation, a charged atom or group of atoms with a net positive charge."
GO:0043170,macromolecule metabolic process,biological_process,"The chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0043207,response to external biotic stimulus,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."
GO:0043226,organelle,cellular_component,"Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."
GO:0043227,membrane-bounded organelle,cellular_component,"Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
GO:0043228,membraneless organelle,cellular_component,"Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane. Includes ribosomes, the cytoskeleton and chromosomes."
GO:0043229,intracellular organelle,cellular_component,"Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."
GO:0043230,extracellular organelle,cellular_component,"Organized structure of distinctive morphology and function, occurring outside the cell. Includes, for example, extracellular membrane vesicles (EMVs) and the cellulosomes of anaerobic bacteria and fungi."
GO:0043231,intracellular membrane-bounded organelle,cellular_component,"Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
GO:0043232,intracellular membraneless organelle,cellular_component,"Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane and occurring within the cell. Includes ribosomes, the cytoskeleton and chromosomes."
GO:0043233,organelle lumen,cellular_component,"The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."
GO:0043412,macromolecule modification,biological_process,"The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."
GO:0043436,oxoacid metabolic process,biological_process,"The chemical reactions and pathways involving any oxoacid; an oxoacid is a compound which contains oxygen, at least one other element, and at least one hydrogen bound to oxygen, and which produces a conjugate base by loss of positive hydrogen ion(s) (hydrons)."
GO:0043565,sequence-specific DNA binding,molecular_function,"Binding to DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding."
GO:0043603,amide metabolic process,biological_process,"The chemical reactions and pathways involving an amide, any derivative of an oxoacid in which an acidic hydroxy group has been replaced by an amino or substituted amino group, as carried out by individual cells."
GO:0043604,amide biosynthetic process,biological_process,"The chemical reactions and pathways resulting in the formation of an amide, any derivative of an oxoacid in which an acidic hydroxy group has been replaced by an amino or substituted amino group."
GO:0043933,protein-containing complex organization,biological_process,"Any process in which macromolecules aggregate, disaggregate, or are modified, resulting in the formation, disassembly, or alteration of a protein complex."
GO:0044085,cellular component biogenesis,biological_process,"A process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component. Includes biosynthesis of constituent macromolecules, and those macromolecular modifications that are involved in synthesis or assembly of the cellular component."
GO:0044087,regulation of cellular component biogenesis,biological_process,"Any process that modulates the frequency, rate or extent of cellular component biogenesis, a process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component."
GO:0044093,positive regulation of molecular function,biological_process,"Any process that activates or increases the rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."
GO:0044237,obsolete cellular metabolic process,biological_process,OBSOLETE. The chemical reactions and pathways by which individual cells transform chemical substances.
GO:0044238,primary metabolic process,biological_process,"The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."
GO:0044248,obsolete cellular catabolic process,biological_process,"OBSOLETE. The chemical reactions and pathways resulting in the breakdown of substances, carried out by individual cells."
GO:0044249,obsolete cellular biosynthetic process,biological_process,"OBSOLETE. The chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."
GO:0044255,obsolete cellular lipid metabolic process,biological_process,"OBSOLETE. The chemical reactions and pathways involving lipids, as carried out by individual cells."
GO:0044260,obsolete cellular macromolecule metabolic process,biological_process,"OBSOLETE. The chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass, as carried out by individual cells."
GO:0044265,obsolete cellular macromolecule catabolic process,biological_process,"OBSOLETE. The chemical reactions and pathways resulting in the breakdown of a macromolecule, any large molecule including proteins, nucleic acids and carbohydrates, as carried out by individual cells."
GO:0044271,obsolete cellular nitrogen compound biosynthetic process,biological_process,OBSOLETE. The chemical reactions and pathways resulting in the formation of organic and inorganic nitrogenous compounds.
GO:0044281,small molecule metabolic process,biological_process,"The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."
GO:0044283,small molecule biosynthetic process,biological_process,"The chemical reactions and pathways resulting in the formation of small molecules, any low molecular weight, monomeric, non-encoded molecule."
GO:0044297,cell body,cellular_component,"The portion of a cell bearing surface projections such as axons, dendrites, cilia, or flagella that includes the nucleus, but excludes all cell projections."
GO:0044403,biological process involved in symbiotic interaction,biological_process,"A process carried out by gene products in an organism that enable the organism to engage in a symbiotic relationship, a more or less intimate association, with another organism. The various forms of symbiosis include parasitism, in which the association is disadvantageous or destructive to one of the organisms; mutualism, in which the association is advantageous, or often necessary to one or both and not harmful to either; and commensalism, in which one member of the association benefits while the other is not affected. However, mutualism, parasitism, and commensalism are often not discrete categories of interactions and should rather be perceived as a continuum of interaction ranging from parasitism to mutualism. In fact, the direction of a symbiotic interaction can change during the lifetime of the symbionts due to developmental changes as well as changes in the biotic/abiotic environment in which the interaction occurs. Microscopic symbionts are often referred to as endosymbionts."
GO:0044419,biological process involved in interspecies interaction between organisms,biological_process,Any process evolved to enable an interaction with an organism of a different species.
GO:0044877,protein-containing complex binding,molecular_function,Binding to a macromolecular complex.
GO:0045184,establishment of protein localization,biological_process,The directed movement of a protein to a specific location.
GO:0045202,synapse,cellular_component,"The junction between an axon of one neuron and a dendrite of another neuron, a muscle fiber or a glial cell. As the axon approaches the synapse it enlarges into a specialized structure, the presynaptic terminal bouton, which contains mitochondria and synaptic vesicles. At the tip of the terminal bouton is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic terminal bouton secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane."
